96.00, 110.00, 65.00, 0.02, 0.19, 0.10, 15.38, 4.11, 23.08, 60.38, -38.82, 0.00, 0.10, 0.01, 5.28, 40.41, -14.89, -0.00, -0.00, 0.00, 2.55, 39.27, -4.00, 0.00, -0.00, 0.00
48.00, 250.00, 163.00, -0.20, -0.14, 0.25, 15.25, 4.11, 19.12, 69.79, -33.63, -0.00, 0.10, 0.01, -2.57, 57.50, 3.61, 0.00, -0.00, -0.00, 1.89, 44.88, -3.45, -0.00, -0.00, -0.00
-255.00, -207.00, 255.00, -0.04, -0.18, 0.08, 15.38, 4.04, 23.68, 52.27, -60.96, 0.00, 0.11, 0.01, 6.63, 19.34, -45.59, -0.00, 0.00, 0.00, 1.95, 33.96, -5.97, 0.01, 0.00, 0.01
-81.00, -245.00, 139.00, -0.02, -0.11, 0.16, 15.63, 4.05, 30.01, 45.95, -61.41, -0.00, 0.11, 0.01, 19.14, 9.35, -54.62, 0.00, 0.00, -0.00, 3.07, 22.78, -7.27, 0.02, 0.01, 0.01
-49.00, -176.00, 228.00, -0.15, -0.05, -0.19, 15.75, 4.08, 32.81, 50.47, -55.86, 0.00, 0.11, 0.01, 25.62, 17.23, -43.03, -0.00, 0.00, 0.00, 4.60, 19.88, -7.96, 0.02, 0.01, 0.01
-218.00, -96.00, -251.00, 0.21, 0.25, 0.03, 15.25, 4.07, 1.36, 53.77, -59.84, -0.00, 0.10, 0.01, -40.94, 22.36, -49.00, 0.00, -0.00, -0.00, 0.18, 19.73, -7.51, -0.03, -0.01, -0.01
255.00, 255.00, 65.00, -0.05, 0.23, 0.00, 15.63, 4.05, 28.30, 66.97, -34.98, 0.01, 0.10, 0.01, 14.43, 50.47, 2.29, -0.01, -0.00, -0.00, 1.30, 28.95, -6.50, 0.01, 0.00, 0.00
-96.00, 255.00, 0.00, 0.22, 0.25, -0.18, 15.50, 4.07, 2.62, 70.68, -33.22, 0.00, 0.10, 0.01, -35.43, 59.33, 0.32, -0.00, -0.00, -0.00, -2.42, 37.67, -6.72, -0.03, -0.01, -0.01
255.00, 255.00, -244.00, 0.10, 0.19, 0.21, 15.38, 4.04, 14.10, 65.48, -42.18, -0.00, 0.10, 0.01, -13.74, 45.16, -7.40, -0.00, -0.00, -0.00, -3.58, 39.94, -6.80, -0.01, -0.01, -0.00
164.00, 252.00, 255.00, -0.17, -0.18, -0.15, 15.63, 4.02, 30.85, 70.14, -33.25, 0.00, 0.11, 0.01, 20.13, 55.61, 8.23, -0.00, 0.00, -0.00, -0.53, 43.77, -4.81, 0.01, 0.01, 0.01
